app,apktool_d,dex2jar,zip,bcel,dx,apktool_a,jarsigner
SelfieHD_v1.1_apkpure.com,1.60,2.66,1.56,0.75,6.07,1.17,0.73
StreetlightSeattleReporter_apkpure.com,0.43,6.27,4.78,2.73,15.73,1.80,1.07
WeatherApp_v1.3_apkpure.com,0.75,4.30,1.98,1.52,10.39,1.46,0.90
WordPress_v5.6.1_apkpure.com,2.30,10.22,5.76,7.61,31.93,4.80,2.92
FlickrUploader7daysTrial_v2.3.2_apkpure.com,0.76,7.61,3.45,6.90,16.54,2.68,1.62
InstitutMarina_v2.0_apkpure.com,0.87,10.02,6.40,4.65,25.82,3.04,1.96
LocalWeatherLite_v1.0.0.7_apkpure.com,0.40,1.63,0.30,0.46,3.78,0.88,0.50
OttawaBusFollower_v2.0.11_apkpure.com,0.83,5.08,2.35,0.85,11.46,1.98,1.23
PocketNote_v2.1_apkpure.com,1.25,3.57,1.34,4.54,7.96,1.79,1.14
RunHelper_v1.3_apkpure.com,0.94,10.63,7.85,5.86,48.08,3.43,2.12
air.com.marykay.enterprise.VMO,3.10,2.48,0.69,4.41,6.40,6.42,4.52
app.diaryfree,0.85,7.08,1.87,2.15,14.47,2.04,1.30
app.rosario.it,1.47,1.69,0.23,2.17,16.49,1.51,1.19
ch.bitspin.timely,0.89,5.92,3.49,8.81,14.81,2.30,1.39
com.a1007977800502c34516a6985a.a80251690a,0.61,2.35,0.65,2.56,6.59,1.07,0.63
com.a9.flow,1.41,5.47,3.43,9.01,14.06,6.49,4.36
com.aaa.android.discounts,1.42,10.46,5.98,12.69,67.30,4.32,2.39
com.aarp.discounts,0.94,7.89,1.36,4.70,8.17,1.50,1.03
com.abercrombie.hollister,1.33,12.61,4.51,12.71,51.73,4.81,2.96
com.access.access,0.45,2.58,0.63,2.41,18.63,1.00,0.65
com.adit.swipescreen,0.78,5.77,2.05,2.18,16.70,2.25,1.40
com.adpog.diary,1.35,4.89,2.22,2.50,13.16,1.81,1.07
com.af.screenmanager,0.73,1.41,0.22,1.40,3.37,1.40,0.88
com.aiguo.handydiary,1.52,8.03,4.13,10.17,19.89,2.57,1.64
com.airjordannikerelease,0.54,2.67,1.05,1.49,6.29,1.15,0.60
com.alarm.alarmmobile.android,1.05,7.24,3.63,0.57,18.39,2.53,1.56
com.alarm.alarmmobile.android.vivint,1.11,6.67,3.72,0.52,19.27,2.76,1.63
com.alarmnet.tc2,1.62,6.97,3.42,5.59,18.07,3.84,1.98
com.andromo.dev136619.app218388,1.14,4.52,1.78,3.26,14.37,2.09,1.18
com.andromo.dev230101.app249724,1.09,4.42,1.66,3.48,13.81,2.16,1.19
com.andromo.dev230101.app300662,0.99,4.26,1.77,3.32,11.70,1.83,1.18
com.andromo.dev230101.app300711,1.07,4.99,1.26,2.57,13.63,1.98,1.14
com.andromo.dev230101.app306838,0.91,4.54,1.68,2.93,12.26,1.91,1.09
com.andromo.dev230101.app307810,1.53,5.10,1.60,3.58,13.04,1.90,1.14
com.andromo.dev230101.app308279,0.96,4.23,1.39,3.04,13.16,1.95,1.14
com.andromo.dev230101.app310730,0.99,5.89,1.65,3.16,13.99,1.94,1.21
com.andromo.dev230101.app310734,0.95,4.83,1.57,3.17,14.51,2.11,1.17
com.andromo.dev230101.app312270,1.10,6.22,1.61,3.37,14.16,2.08,1.23
com.andromo.dev230101.app312271,1.01,5.58,1.24,2.82,15.73,2.07,1.19
com.andromo.dev230101.app312299,0.98,4.89,1.18,2.64,15.08,1.78,1.33
com.andromo.dev230101.app313275,0.93,4.90,1.66,3.21,13.05,1.71,1.14
com.andromo.dev230101.app313857,0.86,4.29,1.56,2.96,13.39,1.75,1.23
