cpu,heap
0,206377
20,239767
7,226429
0,148690
1,144891
8,167795
12,266087
2,257841
2,260932
5,247981
7,244834
6,231805
9,231767
4,232135
5,232310
6,231970
5,232314
4,232374
3,219737
5,238338
15,242768
4,267926
5,268034
4,267913
4,267933
3,267862
4,267538
4,267533
4,267386
4,267526
4,267438
5,267266
3,267270
4,267510
6,214279
0,208494
21,231902
8,150374
1,148570
0,145029
24,294110
5,296330
6,293471
6,284563
6,287531
6,271549
7,271137
6,271385
4,271316
7,271160
6,271404
6,271296
4,271232
5,276702
12,278770
17,314130
3,304842
5,304938
4,304878
5,304870
4,304570
4,304626
5,304528
4,304472
4,304568
4,304592
3,260404
4,260194
5,204670
0,151537
0,210943
0,208904
1,205610
21,238105
8,151402
1,148667
1,143812
30,345236
5,282703
5,282668
8,285662
5,282526
4,282759
6,272367
6,269319
6,269935
4,269479
6,269543
8,269599
7,269844
6,288403
4,275387
13,278015
15,303999
4,304047
4,304083
4,304027
5,303731
5,303667
5,303739
4,303767
4,303763
4,303727
5,310943
4,304207
3,304047
3,194939
0,195868
3,164700
13,150574
1,147884
2,145831
0,145959
30,249009
10,249283
5,231487
8,228519
6,226695
6,223439
5,223587
6,223787
6,224555
3,223726
7,223670
4,223827
7,226997
8,228722
7,228642
5,228578
5,228668
5,228592
7,228620
6,228756
7,223780
5,226938
6,223502
5,223402
3,223512
6,223716
10,238052
6,228996
5,228720
6,150802
0,204992
20,230319
2,150739
0,150691
0,147163
13,248061
13,232839
9,236147
9,233103
6,228219
6,224247
6,223771
7,226935
6,224195
6,224145
7,224169
6,224329
6,223925
8,229730
7,230014
7,229998
7,230102
7,230234
7,229826
6,229238
8,228002
7,224894
5,224978
5,225026
7,225362
6,225322
8,239114
6,230562
6,233679
3,152325
2,138984
4,144225
0,207397
17,230742
3,150069
1,149922
0,146729
12,245029
16,237147
7,240683
7,223679
6,223751
6,219259
6,219343
6,218991
6,219775
7,219343
7,219415
6,219333
7,219373
7,224473
8,224521
7,224613
6,224757
7,224641
4,224717
5,223861
7,222837
7,219757
5,219889
6,219993
7,220077
8,194657
7,225397
5,225485
5,146501
0,134967
