cpu,heap
0,164601
24,196042
4,157362
1,114537
2,102077
20,218875
4,242363
2,235614
4,239008
4,232785
6,232799
6,235551
5,232560
8,236067
4,232859
5,232762
6,233250
5,233211
7,255894
5,242106
11,244758
17,283052
4,270612
4,270508
4,270447
4,269959
5,269871
5,269799
5,269671
3,269823
3,269960
3,269731
4,270528
4,270336
5,162556
5,149378
0,156078
0,158046
18,207780
3,109148
1,109353
4,124193
24,256124
8,259192
6,256036
3,245928
4,245925
5,245564
5,248572
5,245572
6,248712
5,245540
6,245756
4,248992
5,276563
5,254081
4,253489
3,253345
4,253303
11,255551
8,256375
15,282999
6,283315
4,283132
4,283180
4,283258
3,283146
4,283294
4,283682
5,283672
0,207637
20,238952
10,157962
2,114618
1,111648
18,313287
3,258921
5,255948
8,258784
5,255705
6,255725
6,255445
5,258649
5,255461
6,255689
4,255680
4,255799
5,255887
6,263833
11,266555
15,261819
4,261539
5,261475
5,261343
5,261251
4,260911
4,260835
4,260903
4,260983
4,261000
4,260872
4,261620
4,261328
6,156226
1,142286
0,209722
4,228019
11,152745
1,151092
3,148164
0,148129
34,260142
8,260318
4,257155
5,230603
7,226503
7,226159
8,226255
7,226522
7,226550
7,226618
7,226766
7,225962
12,236194
9,234058
7,231002
5,230986
6,231150
7,231318
7,230638
8,225774
6,225918
7,225902
5,226030
7,226170
5,226210
7,226366
9,231730
5,234761
5,153577
0,142024
0,210885
0,208388
11,165687
3,116433
1,112963
0,113049
39,249783
7,231443
4,224913
6,224142
6,219966
6,220046
6,220174
7,223457
6,220397
6,220393
6,220605
6,219809
9,225513
7,225781
7,225841
6,225829
6,226004
5,226076
6,224636
6,220496
6,220551
5,223816
6,220696
6,220876
5,220824
8,225652
5,225744
7,150701
0,137139
0,203782
0,204153
14,154112
3,116524
2,113443
0,111618
31,241988
8,234340
5,231297
2,222323
5,217988
6,217966
4,218208
6,217939
7,218811
7,218159
6,218373
5,218469
9,222818
7,222234
6,222338
7,225518
5,222486
6,222466
5,222550
8,217130
7,217303
7,217331
8,220739
6,217643
6,217547
7,223195
8,222727
5,146050
0,134574
