DateTime,Q1,Q2,Comments,ID,App
29/06/2018 15.07.48,Neutral,Likely,I wish the developer explained why he needed location permission and what are the limitations if I do not provide it,1,tutte 
02/07/2018 10.31.00,Trustable,Likely,"Pemissions are asked two times, it could be confusing. Not clear why the position of user is needed by the app",2,tutte 
02/07/2018 11.26.19,Trustable,Likely,I popup di richiesta di permessi a volte sono fuorvianti e vincolano ad una scelta binaria. Apprezzo che nel vostro si possa concedere il permesso a livelli  ,3,tutte
02/07/2018 11.39.42,Trustable,Unlikely,,4,tutte
02/07/2018 12.05.25,Trustable,Unlikely,Preferisco usare AFP in quanto ho più controllo sui permessi e mi sento più sicuro,5,tutte
02/07/2018 12.18.12,Very trustable,Very likely,,6,tutte
02/07/2018 13.51.48,Trustable,Likely,,7,tutte
02/07/2018 14.05.13,Neutral,Neutral,,8,tutte
02/07/2018 14.39.19,Trustable,Neutral,,9,tutte
02/07/2018 15.40.11,Neutral,Very likely,,10,tutte
02/07/2018 16.14.03,Absolutely not trustable,Unlikely,,11,tutte
02/07/2018 16.27.11,Trustable,Very likely,,12,tutte
02/07/2018 17.12.05,Neutral,Neutral,"I popup di richiesta di permessi sono fastidiosi, interrompono il flusso dell'applicazione. In alcuni momenti in cui sono particolarmente distratto potrei accettarli senza leggere. ",13,tutte
02/07/2018 17.27.56,Trustable,Likely,,14,tutte
03/07/2018 18.27.23,Trustable,Likely,,15,tutte
03/07/2018 18.44.33,Not trustable,Unlikely,Mi da fastidio che non concedendo alcuni permessi poi non posso usare per nulle diverse app,16,tutte
04/07/2018 15.57.07,Neutral,Very likely,,17,tutte
04/07/2018 16.16.27,Not trustable,Likely,Molte app non sono utilizzabili se nego i permessi ,18,tutte
04/07/2018 17.11.03,Trustable,Neutral,"La spunta ""non mostrare più"" può essere la soluzione ideale ",19,tutte
04/07/2018 17.27.55,Not trustable,Unlikely,Preferirei avere più controllo su i miei dati.,20,tutte
04/07/2018 18.10.47,Trustable,Neutral,Con questo sistema ho meno controlli sui permessi e su i miei dati.,21,tutte
04/07/2018 18.21.58,Neutral,Unlikely,Osservazione di Gian Luca: erroneamente credeva che in press la posizione servisse a filtrare le notizie,22,tutte
05/07/2018 17.14.51,Trustable,Likely,,23,tutte
05/07/2018 17.27.31,Absolutely not trustable,Likely,Credo che troppe app richiedano l'accesso ai miei dati anche quando non è necessario ,24,tutte
05/07/2018 18.06.29,Not trustable,Neutral,,25,tutte
05/07/2018 18.18.17,Trustable,Likely,L'app ecommerce poteva aggregare le richieste di permesso,26,tutte
05/07/2018 18.53.08,Not trustable,Neutral,Ho trovato molto fastidioso dover chiudere un pop-up di spiegazione prima del secondo popup di richiesta di permesso.,27,tutte
05/07/2018 19.03.03,Not trustable,Neutral,,28,tutte
09/07/2018 15.20.08,Trustable,Neutral,,29,tutte
09/07/2018 15.28.47,Neutral,Neutral,,30,tutte
09/07/2018 16.02.54,Not trustable,Neutral,,31,tutte
09/07/2018 16.11.41,Neutral,Likely,,32,tutte
09/07/2018 16.51.38,Very trustable,Neutral,Preferisco la richiesta a run-time ma apprezzo molto la possibilità di scegliere il livello data da AFP,33,tutte
10/07/2018 11.32.54,Neutral,Likely,,34,tutte
10/07/2018 22.38.05,Not trustable,Neutral,,35,tutte
12/07/2018 10.36.48,Absolutely not trustable,Neutral,,36,tutte
13/07/2018 17.51.35,Not trustable,Neutral,,37,tutte
15/07/2018 16.32.36,Neutral,Likely,Apprezzo che nel vostro sistema ho la possibilità di scegliere più opzioni.,38,tutte
16/07/2018 19.41.36,Trustable,Likely,,39,tutte
17/07/2018 11.20.07,Neutral,Unlikely,,40,tutte
17/07/2018 11.30.07,Trustable,Very likely,,41,tutte
17/07/2018 12.01.59,Neutral,Neutral,,42,tutte
17/07/2018 12.19.09,Not trustable,Very unlikely,Vorrei una spiegazione del perchè l'app richiede un permesso. ,43,tutte
17/07/2018 12.59.06,Trustable,Likely,Vorrei la possibilità di esplorare prima l'app e poi dare la mia posizione (quando sono convinta di volerla usare).,44,tutte
17/07/2018 13.33.13,Trustable,Likely,,45,tutte
17/07/2018 15.11.43,Trustable,Unlikely,,46,tutte
17/07/2018 15.24.08,Neutral,Likely,Vorrei avere una spiegazione del perchè mi vengono richiesti i permessi. ,47,tutte
