DateTime,Q1,Q2,Q3,Q4,Q5,Q6,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,Comments,ID,App
29/06/2018 15.16.17,Very trustable,Likely,Yes,Yes,Absolutely yes,Absolutely yes,5 - Strongly agree,4 - Agree,1 - Strongly disagree,4 - Agree,3 - Neutral,1 - Strongly disagree,3 - Neutral,4 - Agree,4 - Agree,4 - Agree,,1,tutte
02/07/2018 10.36.59,Very trustable,Very likely,Absolutely yes,Absolutely yes,Yes,Yes,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,"Aggiungerei un pulsante OK sulla dialog di scelta delle opzioni per i permessi, e ricorderei la feature per cui sto scegliendo il livello dei permessi",2,tutte
02/07/2018 11.14.29,Very trustable,Likely,Absolutely yes,Absolutely yes,Absolutely yes,Absolutely yes,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,4 - Agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,"Personalmente ritengo l'approccio utile ma varia da soggetto a soggetto. Credo sia meno percepito da utenti più anziani. Mostrare più info a utenti giovani, meno ad anziani.",3,tutte
02/07/2018 11.48.23,Very trustable,Likely,Absolutely yes,Absolutely yes,Absolutely yes,Absolutely yes,5 - Strongly agree,2 - Disagree,4 - Agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,Forse è necessario un supporto tecnico nel primo utilizzo,4,tutte
02/07/2018 12.01.02,Trustable,Likely,Yes,Yes,Yes,Yes,5 - Strongly agree,2 - Disagree,5 - Strongly agree,4 - Agree,5 - Strongly agree,2 - Disagree,4 - Agree,2 - Disagree,3 - Neutral,2 - Disagree,,5,tutte
02/07/2018 12.27.12,Very trustable,Very likely,Absolutely yes,Absolutely yes,Yes,Absolutely yes,5 - Strongly agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,,6,tutte
02/07/2018 13.46.17,Trustable,Neutral,Yes,Yes,No,Yes,4 - Agree,2 - Disagree,4 - Agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,3 - Neutral,1 - Strongly disagree,Durante la fase di configurazione non è chiaro cosa fa ciascuna feature dell'app,7,tutte
02/07/2018 14.14.33,Very trustable,Very likely,Yes,Yes,Yes,Absolutely yes,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,3 - Neutral,4 - Agree,2 - Disagree,4 - Agree,1 - Strongly disagree,4 - Agree,2 - Disagree,,8,tutte
02/07/2018 14.33.30,Very trustable,Likely,Absolutely yes,Absolutely yes,Absolutely yes,Absolutely yes,4 - Agree,2 - Disagree,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,As user with AFP I am more aware on how an app use my phone,9,tutte
02/07/2018 15.46.55,Trustable,Very likely,Absolutely yes,Absolutely yes,Absolutely yes,Absolutely yes,4 - Agree,2 - Disagree,4 - Agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,Non è chiaro dove premere nella schermata di configurazione dei permessi,10,tutte
02/07/2018 16.05.47,Very trustable,Likely,Absolutely yes,Yes,Absolutely yes,Yes,5 - Strongly agree,2 - Disagree,4 - Agree,2 - Disagree,4 - Agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,,11,tutte
02/07/2018 16.34.51,Trustable,Very likely,Absolutely yes,Absolutely yes,Absolutely yes,Absolutely yes,5 - Strongly agree,1 - Strongly disagree,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,5 - Strongly agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,,12,tutte
02/07/2018 17.03.34,Very trustable,Very likely,Absolutely yes,Absolutely yes,Absolutely yes,Absolutely yes,5 - Strongly agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,,13,tutte
02/07/2018 17.42.31,Not trustable,Unlikely,No,No,Yes,Yes,2 - Disagree,3 - Neutral,2 - Disagree,3 - Neutral,3 - Neutral,5 - Strongly agree,3 - Neutral,4 - Agree,5 - Strongly agree,1 - Strongly disagree,,14,tutte
03/07/2018 18.21.15,Trustable,Likely,Absolutely yes,Absolutely yes,Yes,Yes,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,2 - Disagree,2 - Disagree,4 - Agree,2 - Disagree,,15,tutte
03/07/2018 18.57.17,Trustable,Likely,Yes,Absolutely yes,Absolutely yes,Absolutely yes,4 - Agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,,16,tutte
04/07/2018 15.51.18,Trustable,Very likely,Absolutely yes,Absolutely yes,Absolutely yes,Absolutely yes,4 - Agree,2 - Disagree,4 - Agree,3 - Neutral,4 - Agree,2 - Disagree,5 - Strongly agree,2 - Disagree,5 - Strongly agree,2 - Disagree,"Può essere utile una spiegazione (anche un popup) di come funzionano i permessi che si sta dando e a che funzionalità rinuncio concedendo/dando solo in parte dei permessi.
Non conoscendo l'app mi risulta difficile prendere una decisione all'inizio. ",17,tutte
04/07/2018 16.28.02,Neutral,Very likely,Yes,Yes,Yes,Yes,4 - Agree,2 - Disagree,4 - Agree,2 - Disagree,4 - Agree,3 - Neutral,4 - Agree,1 - Strongly disagree,3 - Neutral,1 - Strongly disagree,In entrambi i sistemi di permessi vorrei che mi spiegassero perché sono necessarie alcune informazioni.,18,tutte
04/07/2018 16.58.25,Trustable,Neutral,Absolutely yes,Yes,Absolutely yes,Yes,3 - Neutral,4 - Agree,2 - Disagree,1 - Strongly disagree,4 - Agree,5 - Strongly agree,3 - Neutral,3 - Neutral,3 - Neutral,4 - Agree,"È necessario un feedback che mi comunichi che una funzionalità è attualmente disattivata  e mi permetta di riattivarla. 
Vorrei la possibilità di condividere selettivamente i miei dati solo con alcune persone/entità.  Gestire differentemente i permessi relativi ai dati (ad es. posizione) e quelli relativi a sensori (ad es. fotocamera). I secondi richiederli nel momento in cui vengono utilizzati.",19,tutte
04/07/2018 17.40.27,Trustable,Very likely,Absolutely yes,Absolutely yes,Absolutely yes,Absolutely yes,5 - Strongly agree,2 - Disagree,4 - Agree,3 - Neutral,4 - Agree,2 - Disagree,5 - Strongly agree,1 - Strongly disagree,4 - Agree,2 - Disagree,Preferisco questo nuovo sistema rispetto al precedente. ,20,tutte
04/07/2018 18.05.22,Trustable,Very likely,Absolutely yes,Absolutely yes,Yes,Yes,4 - Agree,2 - Disagree,4 - Agree,1 - Strongly disagree,4 - Agree,2 - Disagree,3 - Neutral,2 - Disagree,4 - Agree,2 - Disagree,,21,tutte
04/07/2018 18.32.07,Trustable,Unlikely,Yes,Absolutely yes,No,Absolutely yes,2 - Disagree,4 - Agree,2 - Disagree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,2 - Disagree,4 - Agree,4 - Agree,1 - Strongly disagree,Preferisco dare i permessi quando servono e non configurare tutto all'inizio,22,tutte
05/07/2018 17.09.39,Very trustable,Likely,Absolutely yes,Absolutely yes,Absolutely yes,Absolutely yes,3 - Neutral,2 - Disagree,5 - Strongly agree,2 - Disagree,5 - Strongly agree,2 - Disagree,4 - Agree,4 - Agree,5 - Strongly agree,1 - Strongly disagree,La fase iniziale di configurazione dei permessi potrebbe essere troppo lunga per alcune app. ,23,tutte
05/07/2018 17.41.48,Very trustable,Very likely,Absolutely yes,Absolutely yes,Absolutely yes,Absolutely yes,4 - Agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,5 - Strongly agree,1 - Strongly disagree,"Vorrei settare i permessi un unica volta per tutte le app, dato che l'attuale sistema runtime già chiede di continuo",24,tutte
05/07/2018 18.00.58,Neutral,Likely,Yes,Yes,Absolutely yes,Absolutely yes,4 - Agree,1 - Strongly disagree,4 - Agree,1 - Strongly disagree,4 - Agree,2 - Disagree,4 - Agree,1 - Strongly disagree,3 - Neutral,2 - Disagree,,25,tutte
05/07/2018 18.30.32,Trustable,Neutral,Absolutely yes,Absolutely yes,Yes,Yes,3 - Neutral,2 - Disagree,3 - Neutral,4 - Agree,4 - Agree,2 - Disagree,3 - Neutral,4 - Agree,5 - Strongly agree,3 - Neutral,"Per le feature based credo che ripetere l'operazione per ogni feature sia scomodo per l'utente, ma utile ai fini della privacy.
Per le level-based apprezzo davvero di poter specificare dei livelli intermedi (per la posizione).
Per entrambe vorrei che il permesso fosse richiesto a run-time per non intimorire un utente ancor prima di aver visto l'app.",26,tutte
