Timestamp Apertura AFP,Datetime Apertura AFP,Feature: Graphs and Signals,Timestamp Chiusura App,Datetime Chiusura AFP,Tempo Impiegato,ID User
1530276931,2018-06-29 12:55:31,Location -  1,1530276968,2018-06-29 12:56:08,37,1
1530519904,2018-07-02 08:25:04,Location -  2,1530519924,2018-07-02 08:25:24,20,2
1530522278,2018-07-02 09:04:38,Location -  3,1530522332,2018-07-02 09:05:32,54,3
1530524635,2018-07-02 09:43:55,Location -  3,1530524641,2018-07-02 09:44:01,6,4
1530525344,2018-07-02 09:55:44,Location -  1,1530525348,2018-07-02 09:55:48,4,5
1530526951,2018-07-02 10:22:31,Location -  1,1530526970,2018-07-02 10:22:50,19,6
1530531480,2018-07-02 11:38:00,Location -  3,1530531486,2018-07-02 11:38:06,6,7
1530533395,2018-07-02 12:09:55,Location -  1,1530533404,2018-07-02 12:10:04,9,8
1530534414,2018-07-02 12:26:54,Location -  1,1530534425,2018-07-02 12:27:05,11,9
1530538981,2018-07-02 13:43:01,Location -  3,1530538991,2018-07-02 13:43:11,10,10
1530539985,2018-07-02 13:59:45,Location -  2,1530540007,2018-07-02 14:00:07,22,11
1530541918,2018-07-02 14:31:58,Location -  3,1530541922,2018-07-02 14:32:02,4,12
1530543349,2018-07-02 14:55:49,Location -  3,1530543359,2018-07-02 14:55:59,10,13
1530545611,2018-07-02 15:33:31,Location -  0,1530545620,2018-07-02 15:33:40,9,14
1530634411,2018-07-03 16:13:31,Location -  1,1530634420,2018-07-03 16:13:40,9,15
1530636682,2018-07-03 16:51:22,Location -  2,1530636691,2018-07-03 16:51:31,9,16
1530711732,2018-07-04 13:42:12,Location -  1,1530711746,2018-07-04 13:42:26,14,17
1530714096,2018-07-04 14:21:36,Location -  0,1530714118,2018-07-04 14:21:58,22,18
1530715217,2018-07-04 14:40:17,Location -  1,1530715244,2018-07-04 14:40:44,27,19
1530718423,2018-07-04 15:33:43,Location -  2,1530718468,2018-07-04 15:34:28,45,20
1530720054,2018-07-04 16:00:54,Location -  3,1530720063,2018-07-04 16:01:03,9,21
1530721595,2018-07-04 16:26:35,Location -  0,1530721614,2018-07-04 16:26:54,19,22
1530802850,2018-07-05 15:00:50,Location -  3,1530802863,2018-07-05 15:01:03,13,23
1530804829,2018-07-05 15:33:49,Location -  3,1530804836,2018-07-05 15:33:56,7,24
1530805882,2018-07-05 15:51:22,Location -  2,1530805907,2018-07-05 15:51:47,25,25
1530807669,2018-07-05 16:21:09,Location -  1,1530807680,2018-07-05 16:21:20,11,26
1530808798,2018-07-05 16:39:58,Location -  3,1530808807,2018-07-05 16:40:07,9,27
1530810521,2018-07-05 17:08:41,Location -  3,1530810547,2018-07-05 17:09:07,26,28
1531141704,2018-07-09 13:08:24,Location -  3,1531141716,2018-07-09 13:08:36,12,29
1531143177,2018-07-09 13:32:57,Location -  3,1531143183,2018-07-09 13:33:03,6,30
1531144118,2018-07-09 13:48:38,Location -  3,1531144127,2018-07-09 13:48:47,9,31
1531145772,2018-07-09 14:16:12,Location -  3,1531145786,2018-07-09 14:16:26,14,32
1531146947,2018-07-09 14:35:47,Location -  0,1531147005,2018-07-09 14:36:45,58,33
1531215482,2018-07-10 09:38:02,Location -  2,1531215503,2018-07-10 09:38:23,21,34
1531254236,2018-07-10 20:23:56,Location -  1,1531254256,2018-07-10 20:24:16,20,35
1531385206,2018-07-12 08:46:46,Location -  1,1531385224,2018-07-12 08:47:04,18,36
1531496355,2018-07-13 15:39:15,Location -  3,1531496375,2018-07-13 15:39:35,20,37
1531664270,2018-07-15 14:17:50,Location -  1,1531664288,2018-07-15 14:18:08,18,38
1531763193,2018-07-16 17:46:33,Location -  3,1531763199,2018-07-16 17:46:39,6,39
1531818456,2018-07-17 09:07:36,Location -  1,1531818469,2018-07-17 09:07:49,13,40
1531820042,2018-07-17 09:34:02,Location -  1,1531820049,2018-07-17 09:34:09,7,41
1531820971,2018-07-17 09:49:31,Location -  3,1531820979,2018-07-17 09:49:39,8,42
1531823066,2018-07-17 10:24:26,Location -  1,1531823075,2018-07-17 10:24:35,9,43
1531824137,2018-07-17 10:42:17,Location -  3,1531824174,2018-07-17 10:42:54,37,44
1531827595,2018-07-17 11:39:55,Location -  1,1531827645,2018-07-17 11:40:45,50,45
1531832539,2018-07-17 13:02:19,Location -  0,1531832547,2018-07-17 13:02:27,8,46
1531834081,2018-07-17 13:28:01,Location -  1,1531834093,2018-07-17 13:28:13,12,47
