Timestamp Apertura AFP,Datetime Apertura AFP,"Feature: News feed, survey, and events",Timestamp Chiusura App,Datetime Chiusura AFP,Tempo Impiegato,ID User
1530275911,2018-06-29 12:38:31,Location -  0,1530275940,2018-06-29 12:39:00,29,1
1530519290,2018-07-02 08:14:50,Location -  1,1530519362,2018-07-02 08:16:02,72,2
1530522602,2018-07-02 09:10:02,Location -  0,1530522608,2018-07-02 09:10:08,6,3
1530524668,2018-07-02 09:44:28,Location -  2,1530524676,2018-07-02 09:44:36,8,4
1530525267,2018-07-02 09:54:27,Location -  3,1530525272,2018-07-02 09:54:32,5,5
1530526998,2018-07-02 10:23:18,Location -  2,1530527012,2018-07-02 10:23:32,14,6
1530531550,2018-07-02 11:39:10,Location -  2,1530531578,2018-07-02 11:39:38,28,7
1530533433,2018-07-02 12:10:33,Location -  1,1530533440,2018-07-02 12:10:40,7,8
1530534520,2018-07-02 12:28:40,Location -  2,1530534528,2018-07-02 12:28:48,8,9
1530539006,2018-07-02 13:43:26,Location -  1,1530539011,2018-07-02 13:43:31,5,10
1530540075,2018-07-02 14:01:15,Location -  3,1530540081,2018-07-02 14:01:21,6,11
1530541869,2018-07-02 14:31:09,Location -  0,1530541879,2018-07-02 14:31:19,10,12
1530543476,2018-07-02 14:57:56,Location -  3,1530543482,2018-07-02 14:58:02,6,13
1530545814,2018-07-02 15:36:54,Location -  2,1530545821,2018-07-02 15:37:01,7,14
1530634537,2018-07-03 16:15:37,Location -  1,1530634548,2018-07-03 16:15:48,11,15
1530636763,2018-07-03 16:52:43,Location -  2,1530636770,2018-07-03 16:52:50,7,16
1530711655,2018-07-04 13:40:55,Location -  2,1530711677,2018-07-04 13:41:17,22,17
1530714142,2018-07-04 14:22:22,Location -  0,1530714152,2018-07-04 14:22:32,10,18
1530715452,2018-07-04 14:44:12,Location -  0,1530715465,2018-07-04 14:44:25,13,19
1530718561,2018-07-04 15:36:01,Location -  1,1530718575,2018-07-04 15:36:15,14,20
1530720129,2018-07-04 16:02:09,Location -  2,1530720134,2018-07-04 16:02:14,5,21
1530721665,2018-07-04 16:27:45,Location -  3,1530721670,2018-07-04 16:27:50,5,22
1530802954,2018-07-05 15:02:34,Location -  3,1530802975,2018-07-05 15:02:55,21,23
1530804717,2018-07-05 15:31:57,Location -  1,1530804731,2018-07-05 15:32:11,14,24
1530806008,2018-07-05 15:53:28,Location -  2,1530806032,2018-07-05 15:53:52,24,25
1530807760,2018-07-05 16:22:40,Location -  3,1530807767,2018-07-05 16:22:47,7,26
1530808701,2018-07-05 16:38:21,Location -  0,1530808712,2018-07-05 16:38:32,11,27
1530810645,2018-07-05 17:10:45,Location -  2,1530810657,2018-07-05 17:10:57,12,28
1531141798,2018-07-09 13:09:58,Location -  1,1531141806,2018-07-09 13:10:06,8,29
1531143138,2018-07-09 13:32:18,Location -  2,1531143152,2018-07-09 13:32:32,14,30
1531144248,2018-07-09 13:50:48,Location -  0,1531144266,2018-07-09 13:51:06,18,31
1531145859,2018-07-09 14:17:39,Location -  0,1531145892,2018-07-09 14:18:12,33,32
1531147070,2018-07-09 14:37:50,Location -  0,1531147084,2018-07-09 14:38:04,14,33
1531215536,2018-07-10 09:38:56,Location -  0,1531215545,2018-07-10 09:39:05,9,34
1531254351,2018-07-10 20:25:51,Location -  1,1531254357,2018-07-10 20:25:57,6,35
1531385383,2018-07-12 08:49:43,Location -  0,1531385393,2018-07-12 08:49:53,10,36
1531496474,2018-07-13 15:41:14,Location -  2,1531496485,2018-07-13 15:41:25,11,37
1531664401,2018-07-15 14:20:01,Location -  1,1531664408,2018-07-15 14:20:08,7,38
1531763239,2018-07-16 17:47:19,Location -  1,1531763246,2018-07-16 17:47:26,7,39
1531818568,2018-07-17 09:09:28,Location -  2,1531818588,2018-07-17 09:09:48,20,40
1531820082,2018-07-17 09:34:42,Location -  2,1531820089,2018-07-17 09:34:49,7,41
1531821055,2018-07-17 09:50:55,Location -  3,1531821062,2018-07-17 09:51:02,7,42
1531823115,2018-07-17 10:25:15,Location -  3,1531823120,2018-07-17 10:25:20,5,43
1531824278,2018-07-17 10:44:38,Location -  3,1531824331,2018-07-17 10:45:31,53,44
1531827814,2018-07-17 11:43:34,Location -  0,1531827829,2018-07-17 11:43:49,15,45
1531832626,2018-07-17 13:03:46,Location -  0,1531832630,2018-07-17 13:03:50,4,46
1531834203,2018-07-17 13:30:03,Location -  2,1531834209,2018-07-17 13:30:09,6,47
