Timestamp Apertura AFP,Datetime Apertura AFP,Feature: Buy an object,Feature: Post a listing,Feature: Browse listings,Timestamp Chiusura App,Datetime Chiusura AFP,Tempo Impiegato,ID User
1530277781,2018-06-29 13:09:41,Location - 1,Camera - 1,Location - 1,1530277801,2018-06-29 13:10:01,20,1
1530520309,2018-07-02 08:31:49,Location - 2,Camera - 1,Location - 1,1530520369,2018-07-02 08:32:49,60,2
1530522070,2018-07-02 09:01:10,Location - 2,Camera - 0,Location - 2,1530522120,2018-07-02 09:02:00,50,3
1530524558,2018-07-02 09:42:38,Location - 3,Camera - 1,Location - 3,1530524571,2018-07-02 09:42:51,13,4
1530525120,2018-07-02 09:52:00,Location - 1,Camera - 1,Location - 1,1530525133,2018-07-02 09:52:13,13,5
1530526819,2018-07-02 10:20:19,Location - 1,Camera - 1,Location - 1,1530526844,2018-07-02 10:20:44,25,6
1530531264,2018-07-02 11:34:24,Location - 2,Camera - 1,Location - 2,1530531292,2018-07-02 11:34:52,28,7
1530533254,2018-07-02 12:07:34,Location - 1,Camera - 1,Location - 1,1530533272,2018-07-02 12:07:52,18,8
1530534268,2018-07-02 12:24:28,Location - 1,Camera - 1,Location - 2,1530534279,2018-07-02 12:24:39,11,9
1530531708,2018-07-02 13:41:48,Location - 0,Camera - 1,Location - 1,1530531719,2018-07-02 13:41:59,11,10
1530539796,2018-07-02 13:56:36,Location - 2,Camera - 0,Location - 2,1530539809,2018-07-02 13:56:49,13,11
1530541774,2018-07-02 14:29:34,Location - 1,Camera - 1,Location - 2,1530541803,2018-07-02 14:30:03,29,12
1530543137,2018-07-02 14:52:17,Location - 2,Camera - 1,Location - 2,1530543177,2018-07-02 14:52:57,40,13
1530545406,2018-07-02 15:30:06,Location - 1,Camera - 0,Location - 3,1530545475,2018-07-02 15:31:15,69,14
1530634213,2018-07-03 16:10:13,Location - 1,Camera - 1,Location - 1,1530634241,2018-07-03 16:10:41,28,15
1530636468,2018-07-03 16:47:48,Location - 2,Camera - 1,Location - 2,1530636532,2018-07-03 16:48:52,64,16
1530711483,2018-07-04 13:38:03,Location - 1,Camera - 0,Location - 2,1530711533,2018-07-04 13:38:53,50,17
1530713972,2018-07-04 14:19:32,Location - 2,Camera - 1,Location - 2,1530714002,2018-07-04 14:20:02,30,18
1530714814,2018-07-04 14:33:34,Location - 1,Camera - 1,Location - 2,1530714904,2018-07-04 14:35:04,90,19
1530718256,2018-07-04 15:30:56,Location - 1,Camera - 1,Location - 1,1530718338,2018-07-04 15:32:18,82,20
1530719888,2018-07-04 15:58:08,Location - 1,Camera - 1,Location - 2,1530719896,2018-07-04 15:58:16,8,21
1530721484,2018-07-04 16:24:44,Location - 2,Camera - 1,Location - 2,1530721508,2018-07-04 16:25:08,24,22
1530802613,2018-07-05 14:56:53,Location - 1,Camera - 1,Location - 3,1530802639,2018-07-05 14:57:19,26,23
1530804530,2018-07-05 15:28:50,Location - 3,Camera - 1,Location - 2,1530804548,2018-07-05 15:29:08,18,24
1530805588,2018-07-05 15:46:28,Location - 2,Camera - 0,Location - 2,1530805661,2018-07-05 15:47:41,73,25
1530807582,2018-07-05 16:19:42,Location - 2,Camera - 1,Location - 2,1530800392,2018-07-05 16:19:52,8,26
1530808517,2018-07-05 16:35:17,Location - 3,Camera - 1,Location - 1,1530808548,2018-07-05 16:35:48,31,27
1530810402,2018-07-05 17:06:42,Location - 1,Camera - 1,Location - 1,1530810419,2018-07-05 17:06:59,17,28
1531141551,2018-07-09 13:05:51,Location - 2,Camera - 1,Location - 3,1531141561,2018-07-09 13:06:01,10,29
1531143050,2018-07-09 13:30:50,Location - 1,Camera - 1,Location - 2,1531143068,2018-07-09 13:31:08,18,30
1531143963,2018-07-09 13:46:03,Location - 1,Camera - 1,Location - 1,1531143987,2018-07-09 13:46:27,24,31
1531145617,2018-07-09 14:13:37,Location - 2,Camera - 1,Location - 2,1531145637,2018-07-09 14:13:57,20,32
1531146774,2018-07-09 14:32:54,Location - 2,Camera - 0,Location - 1,1531146821,2018-07-09 14:33:41,47,33
1531215304,2018-07-10 09:35:04,Location - 2,Camera - 1,Location - 0,1531215386,2018-07-10 09:36:26,82,34
